image,r,g,b
01_7749.PNG,0.22,0.46,0.32
01_7754.PNG,0.22,0.46,0.32
01_7760.PNG,0.22,0.46,0.32
01_7782.PNG,0.22,0.46,0.32
01_7785.PNG,0.22,0.46,0.32
01_7787.PNG,0.22,0.46,0.32
01_7789.PNG,0.22,0.46,0.32
01_7793.PNG,0.22,0.46,0.32
01_7796.PNG,0.22,0.46,0.32
01_7797.PNG,0.22,0.46,0.32
01_7799.PNG,0.22,0.46,0.32
01_7802.PNG,0.22,0.46,0.32
01_7803.PNG,0.22,0.46,0.32
01_7804.PNG,0.22,0.46,0.32
01_7806.PNG,0.22,0.46,0.32
01_7807.PNG,0.22,0.46,0.32
01_7808.PNG,0.22,0.46,0.32
01_7811.PNG,0.22,0.46,0.32
01_7813.PNG,0.22,0.46,0.32
01_7814.PNG,0.22,0.46,0.32
01_7818.PNG,0.22,0.46,0.32
01_7820.PNG,0.22,0.46,0.32
01_7822.PNG,0.22,0.46,0.32
01_7824.PNG,0.22,0.46,0.32
01_7831.PNG,0.22,0.46,0.32
01_7833.PNG,0.22,0.46,0.32
01_7837.PNG,0.22,0.46,0.32
01_7844.PNG,0.22,0.46,0.32
01_7845.PNG,0.22,0.46,0.32
01_7846.PNG,0.22,0.46,0.32
01_7847.PNG,0.22,0.46,0.32
01_7848.PNG,0.22,0.46,0.32
01_7849.PNG,0.22,0.46,0.32
01_7851.PNG,0.22,0.46,0.32
01_7854.PNG,0.22,0.46,0.32
01_7855.PNG,0.22,0.46,0.32
01_7857.PNG,0.22,0.46,0.32
01_7858.PNG,0.22,0.46,0.32
01_7859.PNG,0.22,0.46,0.32
01_7860.PNG,0.22,0.46,0.32
01_7863.PNG,0.22,0.46,0.32
01_7866.PNG,0.22,0.46,0.32
01_7868.PNG,0.22,0.46,0.32
01_7875.PNG,0.22,0.46,0.32
01_7876.PNG,0.22,0.46,0.32
01_7877.PNG,0.22,0.46,0.32
01_7878.PNG,0.22,0.46,0.32
01_7880.PNG,0.22,0.46,0.32
01_7881.PNG,0.22,0.46,0.32
01_7885.PNG,0.22,0.46,0.32
01_7889.PNG,0.22,0.46,0.32
